pid,bl,tr,trial,condition,acc,drt
2,10,13,189,incongruent,1,11
2,10,18,194,congruent,1,13
2,10,21,197,congruent,1,8
2,11,9,207,incongruent,1,13
2,11,11,209,incongruent,1,10
2,11,12,210,congruent,1,5
2,11,16,214,congruent,1,7
2,12,12,232,incongruent,1,12
2,12,15,235,congruent,1,6
2,12,18,238,incongruent,1,12
2,12,19,239,congruent,1,11
2,13,9,251,incongruent,0,15
2,13,10,252,congruent,1,11
2,13,18,260,congruent,1,10
2,14,2,266,congruent,1,7
2,14,7,271,congruent,0,7
2,14,20,284,incongruent,1,14
2,15,1,287,blank,1,11
2,15,2,288,blank,1,11
2,15,3,289,blank,1,8
2,15,4,290,blank,0,8
2,15,5,291,blank,1,10
2,15,6,292,blank,1,10
2,15,7,293,blank,1,8
2,15,8,294,blank,0,9
2,15,9,295,blank,1,10
2,15,10,296,blank,1,9
2,15,11,297,blank,1,9
2,15,12,298,blank,1,9
2,15,13,299,blank,1,10
2,15,14,300,blank,1,10
2,15,15,301,blank,1,9
2,15,16,302,blank,1,10
2,15,17,303,blank,1,9
2,15,18,304,blank,1,11
2,15,19,305,blank,1,11
2,15,20,306,blank,1,10
2,15,21,307,blank,1,10
2,15,22,308,blank,1,9
2,16,5,313,incongruent,1,8
2,16,11,319,congruent,1,11
2,16,14,322,incongruent,1,13
2,16,22,330,congruent,1,11
2,17,1,331,congruent,1,10
2,17,6,336,incongruent,1,11
2,17,12,342,congruent,1,11
2,17,22,352,incongruent,1,11
2,18,10,362,incongruent,1,11
2,18,16,368,congruent,1,12
2,18,18,370,congruent,1,11
2,18,19,371,incongruent,1,11
2,19,5,379,congruent,1,8
2,19,7,381,incongruent,1,10
2,19,12,386,incongruent,1,13
2,19,21,395,congruent,1,10
2,20,6,402,incongruent,0,6
2,20,10,406,congruent,1,12
2,20,16,412,congruent,1,7
2,21,2,420,incongruent,1,13
2,21,4,422,incongruent,1,12
2,21,9,427,congruent,1,12
2,21,21,439,congruent,1,10
2,22,1,441,blank,1,10
2,22,2,442,blank,1,9
2,22,3,443,blank,0,9
2,22,4,444,blank,1,10
2,22,5,445,blank,1,10
2,22,6,446,blank,1,10
2,22,7,447,blank,1,10
2,22,8,448,blank,1,9
2,22,9,449,blank,1,9
2,22,10,450,blank,1,10
2,22,11,451,blank,1,9
2,22,12,452,blank,0,8
2,22,13,453,blank,1,10
2,22,14,454,blank,1,11
2,22,15,455,blank,1,10
2,22,16,456,blank,1,9
2,22,17,457,blank,1,8
2,22,18,458,blank,1,9
2,22,19,459,blank,1,9
2,22,20,460,blank,1,9
2,22,21,461,blank,1,12
2,22,22,462,blank,1,9
2,23,2,464,incongruent,1,13
2,23,7,469,congruent,1,12
2,23,12,474,incongruent,1,11
2,23,15,477,congruent,1,11
2,24,2,486,incongruent,1,14
2,24,4,488,congruent,1,12
2,24,10,494,incongruent,1,12
2,24,20,504,congruent,1,9
2,25,7,513,incongruent,0,15
2,25,11,517,congruent,1,11
2,25,18,524,incongruent,1,10
2,25,19,525,congruent,1,7
2,26,8,536,incongruent,1,13
2,26,9,537,congruent,1,10
2,26,14,542,incongruent,1,12
2,26,17,545,congruent,1,9
2,27,2,552,congruent,1,10
2,27,6,556,incongruent,1,10
2,27,9,559,congruent,1,9
2,27,14,564,incongruent,0,15
2,28,4,576,incongruent,1,13
2,28,6,578,congruent,1,8
2,28,7,579,congruent,1,10
2,28,21,593,incongruent,1,12
2,29,1,595,blank,1,12
2,29,2,596,blank,1,11
2,29,3,597,blank,1,10
2,29,4,598,blank,1,9
2,29,5,599,blank,1,8
2,29,6,600,blank,1,12
2,29,7,601,blank,1,11
2,29,8,602,blank,1,11
2,29,9,603,blank,1,12
2,29,10,604,blank,1,10
2,29,11,605,blank,1,11
2,29,12,606,blank,1,9
2,29,13,607,blank,1,9
2,29,14,608,blank,1,11
2,29,15,609,blank,1,9
2,29,16,610,blank,1,10
2,29,17,611,blank,1,10
2,29,18,612,blank,1,10
2,29,19,613,blank,1,10
2,29,20,614,blank,1,12
2,29,21,615,blank,1,10
2,29,22,616,blank,1,11
2,30,7,623,incongruent,1,10
2,30,10,626,congruent,1,10
2,30,11,627,incongruent,1,12
2,30,21,637,congruent,1,11
2,31,4,642,congruent,1,10
2,31,8,646,incongruent,1,14
2,31,12,650,congruent,1,13
2,31,13,651,incongruent,1,13
2,32,1,661,congruent,1,14
2,32,13,673,incongruent,1,10
2,32,20,680,congruent,1,10
2,32,22,682,incongruent,1,15
2,33,5,687,congruent,1,12
2,33,8,690,incongruent,1,11
2,33,18,700,congruent,1,11
2,33,21,703,incongruent,1,10
2,34,1,705,congruent,1,9
2,34,2,706,incongruent,1,12
2,34,13,717,congruent,1,10
2,34,21,725,incongruent,1,13
2,35,2,728,congruent,1,6
2,35,8,734,congruent,1,8
2,35,15,741,incongruent,1,11
2,35,16,742,incongruent,1,13
2,36,1,749,blank,1,10
2,36,2,750,blank,1,10
2,36,3,751,blank,1,10
2,36,4,752,blank,1,9
2,36,5,753,blank,1,12
2,36,6,754,blank,1,9
2,36,7,755,blank,1,10
2,36,8,756,blank,1,12
2,36,9,757,blank,1,9
2,36,10,758,blank,1,9
2,36,11,759,blank,1,10
2,36,12,760,blank,1,10
2,36,13,761,blank,1,9
2,36,14,762,blank,1,9
2,36,15,763,blank,1,10
2,36,16,764,blank,1,12
2,36,17,765,blank,1,10
2,36,18,766,blank,1,10
2,36,19,767,blank,1,10
2,36,20,768,blank,1,9
2,36,21,769,blank,1,9
2,36,22,770,blank,1,9
2,37,2,772,congruent,1,7
2,37,6,776,congruent,1,10
2,37,7,777,incongruent,1,10
2,37,11,781,incongruent,1,11
2,38,6,798,incongruent,1,10
2,38,9,801,congruent,1,11
2,38,11,803,incongruent,1,10
2,38,13,805,congruent,1,9
2,39,1,815,congruent,1,8
2,39,4,818,incongruent,1,10
2,39,5,819,congruent,1,11
2,39,10,824,incongruent,1,11
2,40,5,841,congruent,1,8
2,40,8,844,incongruent,1,11
2,40,13,849,congruent,1,9
2,40,14,850,incongruent,1,12
2,41,12,870,congruent,1,11
2,41,14,872,incongruent,1,9
2,41,15,873,incongruent,1,10
2,41,16,874,congruent,1,11
2,42,11,891,incongruent,1,14
2,42,16,896,congruent,1,7
2,42,17,897,incongruent,1,11
2,42,22,902,congruent,1,10
2,43,1,903,blank,1,11
2,43,2,904,blank,1,12
2,43,3,905,blank,1,10
2,43,4,906,blank,1,10
2,43,5,907,blank,1,11
2,43,6,908,blank,1,10
2,43,7,909,blank,1,10
2,43,8,910,blank,1,10
2,43,9,911,blank,1,10
2,43,10,912,blank,1,9
2,43,11,913,blank,1,11
2,43,12,914,blank,1,10
2,43,13,915,blank,1,9
2,43,14,916,blank,1,10
2,43,15,917,blank,1,10
2,43,16,918,blank,1,11
2,43,17,919,blank,1,10
2,43,18,920,blank,1,9
2,43,19,921,blank,1,9
2,43,20,922,blank,1,10
2,43,21,923,blank,1,8
2,43,22,924,blank,1,8
2,44,2,926,incongruent,1,11
2,44,4,928,incongruent,1,10
2,44,12,936,congruent,1,11
2,44,19,943,congruent,1,12
2,45,4,950,congruent,1,11
2,45,12,958,incongruent,1,12
2,45,13,959,congruent,1,11
2,45,17,963,incongruent,1,12
2,46,6,974,incongruent,1,13
2,46,7,975,congruent,1,12
2,46,8,976,congruent,1,11
2,46,22,990,incongruent,1,11
2,47,4,994,congruent,1,8
2,47,6,996,congruent,1,11
2,47,8,998,incongruent,1,12
2,47,19,1009,incongruent,1,12
2,48,1,1013,incongruent,1,11
2,48,5,1017,incongruent,1,11
2,48,7,1019,congruent,1,11
2,48,12,1024,congruent,1,10
