vp,bl,tr,prime_type,resp,respac,rt,TrialNr
1,66,22,1,1,1,345,1430
1,67,6,1,2,1,427,1436
1,67,18,1,1,1,337,1448
1,67,19,2,2,1,430,1449
1,67,21,2,1,1,367,1451
1,68,2,2,1,1,337,1454
1,68,3,1,2,1,278,1455
1,68,18,2,2,1,476,1470
1,68,21,1,1,1,316,1473
1,69,8,1,1,1,287,1482
1,69,13,2,1,1,384,1487
1,69,17,2,2,1,442,1491
1,69,20,1,2,1,286,1494
1,70,9,2,2,1,395,1505
1,70,10,1,2,1,360,1506
1,70,20,2,1,1,347,1516
1,71,1,0,1,1,304,1519
1,71,2,0,1,1,382,1520
1,71,3,0,2,1,386,1521
1,71,4,0,1,1,332,1522
1,71,5,0,1,1,378,1523
1,71,6,0,1,1,335,1524
1,71,7,0,1,1,332,1525
1,71,8,0,1,0,321,1526
1,71,9,0,1,1,340,1527
1,71,10,0,2,1,371,1528
1,71,11,0,1,1,343,1529
1,71,12,0,2,1,389,1530
1,71,13,0,1,1,298,1531
1,71,14,0,1,1,430,1532
1,71,15,0,2,1,316,1533
1,71,16,0,2,1,389,1534
1,71,17,0,2,1,375,1535
1,71,18,0,2,1,380,1536
1,71,19,0,2,1,381,1537
1,71,20,0,1,1,330,1538
1,71,21,0,2,1,366,1539
1,71,22,0,2,1,345,1540
2,2,9,2,2,1,429,9
2,2,11,1,1,1,520,11
2,2,15,1,2,1,501,15
2,2,18,2,1,1,557,18
2,3,4,2,1,1,457,26
2,3,9,1,1,1,502,31
2,3,17,2,2,1,545,39
2,3,18,1,2,1,646,40
2,4,6,2,1,1,451,50
2,4,12,1,1,1,418,56
2,4,13,1,2,1,400,57
2,4,21,2,2,1,458,65
2,5,6,2,1,1,416,72
2,5,11,1,1,1,435,77
2,5,12,2,2,1,369,78
2,5,22,1,2,1,469,88
2,6,3,1,2,1,231,91
2,6,9,2,2,1,349,97
2,6,19,2,1,1,355,107
2,6,21,1,1,1,428,109
2,7,3,2,1,1,439,113
2,7,6,2,1,0,207,116
2,7,14,1,1,1,536,124
2,7,20,1,2,1,295,130
2,8,1,0,1,1,386,133
2,8,2,0,2,1,333,134
2,8,3,0,2,1,363,135
2,8,4,0,1,1,304,136
2,8,5,0,1,1,441,137
2,8,6,0,2,1,330,138
2,8,7,0,1,1,299,139
2,8,8,0,1,1,389,140
2,8,9,0,2,1,373,141
2,8,10,0,1,1,303,142
2,8,11,0,1,1,370,143
2,8,12,0,2,1,318,144
2,8,13,0,2,1,455,145
2,8,14,0,1,1,308,146
2,8,15,0,2,1,281,147
2,8,16,0,1,0,227,148
2,8,17,0,2,1,365,149
2,8,18,0,1,1,351,150
2,8,19,0,1,1,366,151
2,8,20,0,1,1,382,152
2,8,21,0,2,1,383,153
2,8,22,0,2,1,383,154
2,9,3,2,1,1,446,157
2,9,6,2,2,1,478,160
2,9,14,1,1,1,488,168
2,9,20,1,2,1,224,174
2,10,12,2,2,1,452,188
2,10,13,2,1,1,405,189
2,10,18,1,2,1,519,194
2,10,21,1,1,1,284,197
2,11,9,2,2,1,504,207
2,11,11,2,1,1,381,209
